iter	RMSE	AverageGain:top=10
625	0.142277196	0.4689511571
626	0.1422756733	0.4689511571
627	0.1422192017	0.468681783
628	0.1422177032	0.468681783
629	0.1421663405	0.468681783
630	0.1421240609	0.4686578393
631	0.1420447362	0.4686803797
632	0.1420097128	0.4686803797
633	0.1420083466	0.4686803797
634	0.1419648207	0.4688518037
635	0.1419288615	0.4696087472
636	0.1418835975	0.4697801712
637	0.1418471925	0.4697801712
638	0.1417928157	0.4700495454
639	0.1417422202	0.4706024653
640	0.1416962962	0.4706357661
641	0.141623942	0.4698812641
642	0.1415687263	0.4701266946
643	0.1414903656	0.4695325438
644	0.1414541946	0.4695325438
645	0.1413778423	0.4695325438
646	0.1413138909	0.4691979431
647	0.1412585749	0.4695070342
648	0.1412049316	0.4694135949
649	0.1411562015	0.4700715676
650	0.1411267713	0.4697555065
651	0.1410867748	0.4693477163
652	0.1410300288	0.4696066834
653	0.1409894539	0.4694665483
654	0.1409271308	0.4700622758
655	0.1408701758	0.4699161937
656	0.1408213453	0.4703043255
657	0.1407376536	0.4702275427
658	0.1406585957	0.4694802591
659	0.1406003943	0.4695311321
660	0.1405330751	0.4700659316
661	0.1404692451	0.4704717003
662	0.1404185401	0.4707717275
663	0.1403643823	0.4713025092
664	0.1403262053	0.4713025092
665	0.1402641281	0.4710787509
666	0.1402129543	0.4710728353
667	0.1401647427	0.4713811007
668	0.1401157207	0.4715605736
669	0.1400812443	0.4714745228
670	0.1400244593	0.4713058103
671	0.1399880537	0.4707281707
672	0.1399522221	0.4709975448
673	0.1399143799	0.4706891451
674	0.1398877696	0.4705487961
675	0.13984456	0.471135961
676	0.1398014639	0.4708275612
677	0.1397583295	0.4711358266
678	0.1397564995	0.4711358266
679	0.1397077502	0.4711358266
680	0.1396692735	0.4714892589
681	0.1396157751	0.4711584531
682	0.1395789829	0.4711584531
683	0.1395158834	0.4711584531
684	0.1394806273	0.4716482201
685	0.1394405598	0.4711584531
686	0.1394015217	0.4716482201
687	0.1393758121	0.4718586788
688	0.1393184293	0.4711584531
689	0.1392822177	0.4715707367
690	0.1392211353	0.4715707367
691	0.1391836241	0.4715599764
692	0.1391574444	0.4714456748
693	0.1391510298	0.4714456748
694	0.1390972726	0.472026671
695	0.1390472786	0.4720492114
696	0.1389797351	0.4723331124
697	0.1389231564	0.4723331124
698	0.1388472689	0.4732712139
699	0.1387934827	0.4728696907
700	0.1387257895	0.4728696907
701	0.1386830454	0.4736134784
702	0.1386401722	0.4740396778
703	0.1385768259	0.4737609809
704	0.1385163147	0.4732976071
705	0.1384552526	0.4731614982
706	0.1384177022	0.4731389578
707	0.1383740406	0.4734389849
708	0.1383281446	0.4731571328
709	0.1382633413	0.4733939846
710	0.1381935429	0.4733758096
711	0.1381670312	0.4733758096
712	0.1381422888	0.4736086204
713	0.1381087774	0.4736086204
714	0.1380542447	0.4731963367
715	0.1379830933	0.473682251
716	0.1379469482	0.4737678439
717	0.1378849804	0.4732640707
718	0.13783316	0.4727605485
719	0.1377949221	0.4732188771
720	0.1377584728	0.4727701284
721	0.1377201533	0.4727462044
722	0.1376900983	0.4731949532
723	0.1376441655	0.4729213721
724	0.1375928654	0.4728958545
725	0.1375491003	0.4729213721
726	0.1375257838	0.4729213721
727	0.1374736992	0.4729213721
728	0.1374280173	0.4732188771
729	0.1374000953	0.4735524168
730	0.1373446396	0.4735631771
731	0.1373111965	0.4735631771
732	0.1372778831	0.4732549117
733	0.1372218472	0.4732549117
734	0.1371990871	0.4732549117
735	0.1371738617	0.4732549117
736	0.1371249062	0.4735549389
737	0.13710094	0.4735549389
738	0.1370468824	0.4735362742
739	0.1369787246	0.4735362742
740	0.1369420365	0.4735362742
741	0.1369208696	0.4735362742
742	0.136870623	0.4735362742
743	0.1368246675	0.4741065593
744	0.1367916365	0.4744148247
745	0.1367366398	0.4754165523
746	0.1366944472	0.4754219325
747	0.1366518739	0.4758342161
748	0.1366144922	0.4758342161
749	0.1365825739	0.4758342161
750	0.1365538636	0.4753523934
751	0.1364948699	0.4753523934
752	0.136469063	0.4753523934
753	0.1364394642	0.4753523934
754	0.1363677063	0.4753523934
755	0.1363072028	0.4753523934
756	0.1362619612	0.4753615601
757	0.1362096227	0.4753523934
758	0.1361620099	0.4753663091
759	0.1361376225	0.4762652255
760	0.136074123	0.4762930569
761	0.1360364257	0.4762930569
762	0.1359945552	0.4762930569
763	0.1359579078	0.4762652255
764	0.135949358	0.4762652255
765	0.1359127504	0.4768059232
766	0.1358860113	0.4768059232
767	0.1358602973	0.4768059232
768	0.1358165818	0.4768059232
769	0.1357775663	0.4768059232
770	0.135756988	0.4768915161
771	0.1357464496	0.4768915161
772	0.1356917537	0.4768776004
773	0.1356383102	0.4773594231
774	0.1355823365	0.4773733388
775	0.1355287911	0.4775528117
776	0.1354790988	0.4775528117
777	0.1354564769	0.4773733388
778	0.1354156011	0.4775528117
779	0.1353599806	0.4773733388
780	0.1352992088	0.4773733388
781	0.1352506212	0.4777143655
782	0.1351973971	0.4776862429
783	0.1351808998	0.4776862429
784	0.1351423942	0.4777001586
785	0.1351011699	0.4777001586
786	0.1350866743	0.4777001586
787	0.1350400264	0.4777001586
788	0.1349675166	0.4777001586
789	0.1349374407	0.4777001586
790	0.134888564	0.4777001586
791	0.1348331843	0.4777064048
792	0.1347816407	0.4777064048
793	0.1347743493	0.4777064048
794	0.1347496018	0.4777064048
795	0.134734804	0.4773205491
796	0.1346931466	0.4773205491
797	0.134649968	0.4773205491
798	0.1346145986	0.4773143029
799	0.1345894911	0.4773143029
800	0.1345443712	0.4773143029
801	0.1345225668	0.4777001586
802	0.1344809801	0.4773143029
803	0.1344416015	0.4780501857
804	0.1343928743	0.4780501857
805	0.1343604803	0.4780501857
806	0.1343256554	0.4781752476
807	0.1342737701	0.4781752476
808	0.1342056059	0.4788238094
809	0.1341495967	0.4788238094
810	0.1341199683	0.4788238094
811	0.1340815155	0.4784737823
812	0.1340547188	0.4784320352
813	0.1340001181	0.4787820623
814	0.1339603566	0.4792411595
815	0.1339275492	0.4786443366
816	0.1338845493	0.4786443366
817	0.1338577767	0.4786443366
818	0.1338409767	0.4786025894
819	0.1337926668	0.4782943095
820	0.1337340235	0.4782525623
821	0.1336956966	0.4783909785
822	0.1336566587	0.4780051227
823	0.1336079013	0.4780051227
824	0.1335416263	0.4790759172
825	0.1334950788	0.4789204784
826	0.1334424472	0.4784024528
827	0.1334031563	0.4788460237
828	0.133359728	0.4788699673
829	0.1333087107	0.477975266
830	0.133270186	0.4788095428
831	0.1332232117	0.479105405
832	0.1331768531	0.4787677956
833	0.1331395119	0.4789082191
834	0.1331172391	0.4784594704
835	0.1330757631	0.4784594704
836	0.1330235714	0.4784594704
837	0.1329386729	0.4785331353
838	0.1328900232	0.4789267626
839	0.1328559312	0.4791742022
840	0.1328211595	0.4795091139
841	0.1327763645	0.47964753
842	0.1327434624	0.47964753
843	0.1326682711	0.4811454815
844	0.1326021667	0.4819381183
845	0.132563598	0.4815337806
846	0.1325238398	0.4806584989
847	0.1325009591	0.4809680949
848	0.1324551051	0.4805698041
849	0.1324383214	0.4805698041
850	0.1323887522	0.4809033437
851	0.1323424862	0.4814673016
852	0.1323076499	0.4817673288
853	0.1322815338	0.4830524098
854	0.1322441808	0.4829211017
855	0.1322133283	0.4824620045
856	0.1321773157	0.4824620045
857	0.1321418536	0.4824620045
858	0.1321166517	0.4820683772
859	0.1320468176	0.4817348375
860	0.1319788271	0.4817410837
861	0.1319591412	0.4817410837
862	0.1319267132	0.4822817815
863	0.1318826395	0.4822817815
864	0.1318682778	0.4822817815
865	0.131846352	0.4822817815
866	0.1318007385	0.4827305302
867	0.1317334071	0.483146698
868	0.1316937575	0.4832821083
869	0.1316393649	0.4835514825
870	0.1315709728	0.483983174
871	0.1315468711	0.483983174
872	0.1315348153	0.483983174
873	0.1314933439	0.4835289421
874	0.1314657374	0.4835289421
875	0.1314358898	0.4834038802
876	0.1314002319	0.4834503642
877	0.1313659764	0.4834503642
878	0.1313330416	0.4834503642
879	0.131284001	0.4842698775
